date,atm_iv_slope_st,atm_iv_slope_lt,iv_otm_skew_st,iv_otm_skew_lt,pc_oi,pc_vol,otm_pc_oi_st,otm_pc_vol_st,otm_pc_oi_lt,otm_pc_vol_lt,otm_put_oi_pct_chg,otm_call_oi_pct_chg,otm_put_vol_pct_chg,otm_call_vol_pct_chg,otm_put_oi_ma,otm_call_oi_ma,otm_put_vol_ma,otm_call_vol_ma
10/22/2014,-0.004297865,-0.00228229,0.136196921,0.105448115,1.585570664,1.988155533,3.140162459,23.15537026,1.081166506,0.748984896,-0.038730541,0.41278955,-0.394945239,-0.832525077,1.306869105,1.297677419,1.018671461,0.719025822
10/23/2014,-0.003510853,0.000742919,0.119380317,0.101159902,1.584733173,1.625742858,4.880329477,20.12483745,1.130947131,1.737103469,0.329845512,-0.057064544,-0.172350355,-0.484488936,1.591686607,1.163844965,0.804307658,0.363134228
10/27/2014,-0.007788369,-0.005089477,0.12805473,0.096667844,1.287588711,0.478336194,10.04857411,0.458598726,1.430995292,0.151619267,0.016972924,0.131088199,-0.198573802,-0.463011267,1.029041639,0.865357464,0.218213029,0.730864862
10/29/2014,-0.009978114,-0.005581251,0.117804071,0.098613706,1.382282876,1.017564762,8.193969687,31.51612903,2.030736306,2.73277233,0.026178827,0.008877495,-0.682534407,-0.330107861,1.030097692,0.655512012,0.301568691,0.070828224
10/30/2014,-0.007717665,-0.004809261,0.074839622,0.09893742,1.386825813,1.035277849,0.9145826,5.842105263,2.363741799,3.847516314,0.028210573,-0.116644406,0.396624473,-0.50245163,1.021783218,0.603181114,0.486621313,0.036346528
10/31/2014,-0.016004989,-0.011326012,0.080232137,0.095034841,1.416745429,0.873448441,1.042283298,14.45238095,3.579939703,7.229094208,0.089228773,-0.280810351,0.955216591,1.743774138,1.061975466,0.460330562,0.959742432,0.102878583
11/3/2014,-0.013512734,-0.003819414,0.083685439,0.098301647,1.502059803,0.917793884,1.302059893,22.80487805,3.761285964,0.851258214,0.048684321,-0.250249995,-0.586393183,0.514099888,1.12506336,0.402279367,0.418199385,0.189541237
11/4/2014,-0.008244634,0.003196337,0.085326611,0.095731063,1.49710002,1.103848157,1.352931123,1.360056259,3.63762517,0.793025784,0.013409316,0.044716659,0.669798601,-0.17448309,1.12258041,0.454779975,0.875555539,0.313441011
11/5/2014,-0.002170193,0.006790716,0.083428921,0.096974102,1.525861442,0.411860462,1.848017281,3.516248839,4.38448216,5.449728261,0.022763993,-0.150299077,-0.049447823,15.55518018,1.123731798,0.450184384,0.94934008,3.856195317
11/6/2014,0.000614889,0.008233259,0.080491245,0.096992203,1.409802955,0.854639137,32.70769231,3.2,4.409391452,5.788451119,-0.012001317,0.604706666,0.229741448,-0.860366055,1.121629199,0.826357272,1.266561316,0.545288335
11/7/2014,0.001817364,0.008227001,0.075159023,0.097933925,1.410112587,1.099001727,8.195372751,5.23853211,4.417030464,7.125506073,0.040502759,0.049623824,-0.74094461,-0.763447002,1.130035829,0.926000245,0.339892716,0.177930637
11/10/2014,-0.002719134,0.005082864,0.108747723,0.098802222,1.407057621,2.303922778,3.641997709,8.556282631,4.501833152,40.18500605,-0.203870316,-0.219964917,2.413909952,0.020096577,0.893130543,0.810650821,1.094666361,0.22551516
11/11/2014,-0.00368962,0.004865901,0.11272094,0.099550762,1.426656106,0.9673699,3.594766844,1.108417768,4.521387004,12.94385491,0.012185695,0.025484584,-0.454174159,2.256665506,0.901270949,0.885795323,0.676750131,0.70749003
11/12/2014,-0.005228656,0.004663352,0.114806708,0.101035046,1.434890708,1.455164312,3.583486045,4.245280706,4.530319469,2.307036645,0.003128174,0.006286017,0.032464822,-0.65123338,0.90315443,0.954711436,0.694361185,0.246293001
11/13/2014,-0.005598481,0.004608561,0.121656657,0.107743403,1.459533619,1.052600312,3.544653162,1.595246135,4.438878161,2.510058676,0.015190126,0.026311879,0.227629717,2.2669772,0.916975809,1.030458833,0.85500087,0.752607101
11/14/2014,-0.003993297,0.00622281,0.120098741,0.105617748,1.445180574,2.225065803,3.763245632,12.8336771,4.470325499,4.023773555,0.044327486,-0.016333482,-0.195112486,-0.764051478,0.961699618,1.023770056,0.768294736,0.1796119
11/17/2014,-0.005722139,0.005601681,0.123023153,0.107619714,1.451258196,1.816187292,3.449985938,9.876576577,4.411079176,9.621066667,0.019524426,0.112097531,-0.038923468,-0.470461954,0.987655049,1.105806717,0.742913421,0.098564889
